12995,2
12987,26
12979,64
12956,36
12947,39
12911,48
12906,24
12869,65
12867,52
12863,58
12858,73
12850,63
12848,42
12846,55
12844,66
12836,76
12835,18
12834,10
12831,75
12823,16
12819,74
12816,17
12813,28
12806,79
12800,53
12799,45
12796,23
12791,62
12788,69
12787,49
12777,80
12770,37
12769,51
12765,15
12763,21
12752,22
12746,11
12744,41
12742,29
12740,57
12739,25
12739,34
12737,3
12737,78
12735,70
12731,43
12721,14
12719,60
12718,38
12717,1
12715,71
12711,31
12707,59
12707,67
12706,13
12705,27
12704,72
12703,4
12698,5
12698,68
12697,56
12685,30
12681,50
12679,7
12668,6
12663,47
12662,8
12659,54
12652,35
12651,32
12646,19
12611,20
12600,46
12586,40
12583,9
12581,12
12562,33
12547,44
12534,61
12438,77
